start_station_name,end_station_name,trips,start_lat,start_lng,end_lat,end_lng
E 1 St & 1 Ave,E 2 St & Avenue C,1922,40.723354,-73.98865,40.720875,-73.98086
W 30 St & 10 Ave,W 30 St & 10 Ave,1921,40.752693,-74.00235,40.752693,-74.00235
W 22 St & 10 Ave,W 22 St & 10 Ave,1917,40.746918,-74.00452,40.746918,-74.00452
Grand Army Plaza & Central Park S,Central Park West & W 72 St,1912,40.764397,-73.97372,40.775795,-73.976204
W 54 St & 11 Ave,W 54 St & 11 Ave,1911,40.768333,-73.99258,40.768333,-73.99258
E 33 St & 1 Ave,E 32 St & Park Ave,1911,40.743225,-73.974495,40.745712,-73.98195
1 Ave & E 68 St,E 84 St & 1 Ave,1904,40.765007,-73.95818,40.775654,-73.95068
46 Ave & 5 St,44 Dr & Jackson Ave,1902,40.74731,-73.95451,40.74718,-73.94326
1 Ave & E 16 St,E 27 St & 1 Ave,1902,40.73222,-73.98166,40.739445,-73.97681
Lenox Ave & W 111 St,Lenox Ave & W 111 St,1897,40.798786,-73.9523,40.798786,-73.9523
3 St & Prospect Park West,Plaza St West & Flatbush Ave,1896,40.668133,-73.97364,40.675022,-73.971115
West St & Chambers St,Little West St & 1 Pl,1892,40.71755,-74.01322,40.705692,-74.01678
W 70 St & Amsterdam Ave,W 70 St & Amsterdam Ave,1890,40.77748,-73.98289,40.77748,-73.98289
Driggs Ave & Lorimer St,Driggs Ave & N 9 St,1888,40.72179,-73.95042,40.71817,-73.9552
5 Ave & E 103 St,5 Ave & E 103 St,1884,40.792255,-73.9525,40.792255,-73.9525
Broadway & E 21 St,University Pl & E 14 St,1880,40.739887,-73.989586,40.734814,-73.99209
E 2 St & Avenue B,E 1 St & 1 Ave,1874,40.722176,-73.98369,40.723354,-73.98865
7 Ave & Central Park South,5 Ave & E 72 St,1873,40.76674,-73.97907,40.772827,-73.96685
W 22 St & 10 Ave,Broadway & E 21 St,1873,40.746918,-74.00452,40.739887,-73.989586
8 Ave & W 16 St,W 20 St & 10 Ave,1867,40.740982,-74.0017,40.745686,-74.00514
West St & Liberty St,Vesey Pl & River Terrace,1864,40.711445,-74.01485,40.71534,-74.01659
6 Ave & W 33 St,W 42 St & 6 Ave,1864,40.749012,-73.98849,40.75492,-73.98455
Ave A & E 14 St,E 2 St & Avenue A,1864,40.730312,-73.98047,40.723076,-73.98584
Broadway & W 56 St,W 54 St & 11 Ave,1854,40.765266,-73.981926,40.768333,-73.99258
3 St & 7 Ave,7 Ave & Park Pl,1854,40.670383,-73.97839,40.677616,-73.97324
W 34 St &\tHudson Blvd E,11 Ave & W 41 St,1847,40.75517,-74.0006,40.7603,-73.99884
1 Ave & E 78 St,1 Ave & E 78 St,1844,40.771404,-73.953514,40.771404,-73.953514
7 Ave & Central Park South,Central Park North & Adam Clayton Powell Blvd,1844,40.76674,-73.97907,40.799484,-73.95561
2 Ave & E 104 St,2 Ave & E 96 St,1835,40.78921,-73.94371,40.783962,-73.94717
Newtown Ave & 23 St,31 St & Newtown Ave,1832,40.771362,-73.924614,40.767548,-73.92094
10 Ave & W 14 St,12 Ave & W 40 St,1827,40.74198,-74.008316,40.760876,-74.00278
Broadway & W 61 St,Broadway & W 61 St,1827,40.77003,-73.98197,40.77003,-73.98197
5 Ave & E 72 St,7 Ave & Central Park South,1825,40.772827,-73.96685,40.76674,-73.97907
9 Ave & W 45 St,W 36 St & 9 Ave,1822,40.760193,-73.99126,40.754623,-73.99517
Park Cir & East Dr,Park Cir & East Dr,1816,40.651566,-73.97221,40.651566,-73.97221
Central Park S & 6 Ave,Central Park West & W 68 St,1814,40.76591,-73.97634,40.773407,-73.97783
W 44 St & 11 Ave,W 44 St & 5 Ave,1810,40.76201,-73.99698,40.755,-73.98014
W 21 St & 6 Ave,W 20 St & 8 Ave,1809,40.74174,-73.994156,40.743454,-74.00004
India St Pier,Kent Ave & N 7 St,1809,40.731735,-73.96124,40.720367,-73.96165
Suffolk St & Stanton St,Suffolk St & Stanton St,1806,40.720665,-73.985176,40.720665,-73.985176
Broadway & W 25 St,Broadway & W 25 St,1803,40.74287,-73.98919,40.74287,-73.98919
Pier 40 - Hudson River Park,12 Ave & W 40 St,1802,40.727715,-74.0113,40.760876,-74.00278
Norfolk St & Broome St,Norfolk St & Broome St,1799,40.717228,-73.98802,40.717228,-73.98802
W 59 St & 10 Ave,W 70 St & Amsterdam Ave,1798,40.77051,-73.98804,40.77748,-73.98289
E 85 St & 3 Ave,E 81 St & York Ave,1797,40.77801,-73.95407,40.77284,-73.94989
5 Ave & E 72 St,5 Ave & E 87 St,1796,40.772827,-73.96685,40.782322,-73.95988
St Nicholas Ave & Manhattan Ave,Frederick Douglass Blvd & W 117 St,1788,40.809727,-73.95315,40.80516,-73.95469
E 85 St & 3 Ave,1 Ave & E 78 St,1787,40.77801,-73.95407,40.771404,-73.953514
Wythe Ave & Metropolitan Ave,N 6 St & Bedford Ave,1786,40.71689,-73.963196,40.717453,-73.95851
W 100 St & Broadway,W 100 St & Broadway,1784,40.79737,-73.97041,40.79737,-73.97041
1 Ave & E 68 St,1 Ave & E 68 St,1784,40.765007,-73.95818,40.765007,-73.95818
Christopher St & Greenwich St,West St & Chambers St,1782,40.732914,-74.00711,40.71755,-74.01322
Lexington Ave & E 111 St,Lenox Ave & W 111 St,1782,40.795414,-73.94412,40.798786,-73.9523
FDR Drive & E 35 St,FDR Drive & E 35 St,1782,40.74422,-73.971214,40.74422,-73.971214
Riverside Dr & W 72 St,Riverside Dr & W 72 St,1780,40.78058,-73.98563,40.78058,-73.98563
Grand Army Plaza & Central Park S,7 Ave & Central Park South,1779,40.764397,-73.97372,40.76674,-73.97907
University Pl & E 14 St,University Pl & E 8 St,1777,40.734814,-73.99209,40.731438,-73.9949
E 23 St & 1 Ave,1 Ave & E 16 St,1776,40.736504,-73.978096,40.73222,-73.98166
E 10 St & Avenue A,E 10 St & Avenue A,1776,40.72741,-73.98142,40.72741,-73.98142
Grand Army Plaza & Central Park S,Broadway & W 58 St,1773,40.764397,-73.97372,40.766953,-73.9817
E 33 St & 1 Ave,1 Ave & E 39 St,1773,40.743225,-73.974495,40.74714,-73.97113
Riverside Dr & W 82 St,Riverside Dr & W 82 St,1769,40.78721,-73.98128,40.78721,-73.98128
E 91 St & 2 Ave,E 91 St & 2 Ave,1769,40.781155,-73.94963,40.781155,-73.94963
Vesey Pl & River Terrace,West St & Chambers St,1767,40.71534,-74.01659,40.71755,-74.01322
Wythe Ave & Metropolitan Ave,S 4 St & Wythe Ave,1765,40.71689,-73.963196,40.71286,-73.965904
W 51 St & Rockefeller Plaza,Broadway & W 41 St,1764,40.75974,-73.97812,40.755135,-73.98658
1 Ave & E 68 St,E 55 St & 2 Ave,1762,40.765007,-73.95818,40.757973,-73.966034
1 Ave & E 16 St,E 33 St & 1 Ave,1761,40.73222,-73.98166,40.743225,-73.974495
W 22 St & 10 Ave,9 Ave & W 22 St,1759,40.746918,-74.00452,40.7455,-74.00197
Ave A & E 14 St,E 7 St & Avenue A,1758,40.730312,-73.98047,40.72622,-73.983795
6 Ave & W 34 St,6 Ave & W 34 St,1758,40.74964,-73.98805,40.74964,-73.98805
Metropolitan Ave & Bedford Ave,Hope St & Union Ave,1758,40.715347,-73.96024,40.711674,-73.951416
3 St & Prospect Park West,West Drive & Prospect Park West,1757,40.668133,-73.97364,40.661064,-73.979454
E 2 St & Avenue C,E 2 St & Avenue B,1750,40.720875,-73.98086,40.722176,-73.98369
Milton St & Franklin St,Wythe Ave & Metropolitan Ave,1748,40.72906,-73.95779,40.71689,-73.963196
12 Ave & W 40 St,West St & Liberty St,1746,40.760876,-74.00278,40.711445,-74.01485
W 21 St & 6 Ave,W 21 St & 6 Ave,1746,40.74174,-73.994156,40.74174,-73.994156
6 Ave & W 34 St,6 Ave & W 45 St,1743,40.74964,-73.98805,40.75695,-73.98263
5 Ave & E 87 St,7 Ave & Central Park South,1742,40.782322,-73.95988,40.76674,-73.97907
1 Ave & E 78 St,E 84 St & 1 Ave,1739,40.771404,-73.953514,40.775654,-73.95068
West St & Chambers St,W 16 St & The High Line,1739,40.71755,-74.01322,40.74335,-74.00682
West Drive & Prospect Park West,Parade Pl & Crooke Ave,1736,40.661064,-73.979454,40.651848,-73.96525
Canal St & Rutgers St,Canal St & Rutgers St,1736,40.714275,-73.9899,40.714275,-73.9899
Frederick Douglass Blvd & W 117 St,Frederick Douglass Blvd & W 112 St,1732,40.80516,-73.95469,40.801693,-73.957146
Broadway\t& W 48 St,Broadway\t& W 48 St,1732,40.760178,-73.98487,40.760178,-73.98487
E 85 St & 3 Ave,2 Ave & E 72 St,1731,40.77801,-73.95407,40.76876,-73.958405
Little West St & 1 Pl,Vesey Pl & River Terrace,1727,40.705692,-74.01678,40.71534,-74.01659
1 Ave & E 68 St,E 63 St & 3 Ave,1725,40.765007,-73.95818,40.763954,-73.9646
E 58 St & 1 Ave (NW Corner),1 Ave & E 68 St,1725,40.759125,-73.96266,40.765007,-73.95818
W 67 St & Broadway,W 64 St & Thelonious Monk Circle,1722,40.774925,-73.982666,40.775158,-73.98919
2 Ave & E 31 St,2 Ave & E 29 St,1720,40.74291,-73.97706,40.741722,-73.978096
Grand St & Elizabeth St,Clinton St & Grand St,1719,40.718822,-73.99596,40.715595,-73.98703
Jackson Ave & 46 Rd,46 Ave & 5 St,1719,40.745247,-73.947334,40.74731,-73.95451
Christopher St & Greenwich St,Washington St & Gansevoort St,1719,40.732914,-74.00711,40.739323,-74.00812
E 81 St & York Ave,E 85 St & 3 Ave,1716,40.77284,-73.94989,40.77801,-73.95407
5 Ave & E 87 St,Central Park North & Adam Clayton Powell Blvd,1714,40.782322,-73.95988,40.799484,-73.95561
Albany St & Greenwich St,Albany St & Greenwich St,1713,40.709267,-74.013245,40.709267,-74.013245
Grand Army Plaza & Central Park S,Central Park North & Adam Clayton Powell Blvd,1711,40.764397,-73.97372,40.799484,-73.95561
Plaza St West & Flatbush Ave,3 St & Prospect Park West,1709,40.675022,-73.971115,40.668133,-73.97364
46 Ave & 5 St,Jackson Ave & 46 Rd,1706,40.74731,-73.95451,40.745247,-73.947334
Forsyth St\t& Grand St,Clinton St & Grand St,1705,40.717796,-73.993164,40.715595,-73.98703
1 Ave & E 68 St,E 85 St & 3 Ave,1700,40.765007,-73.95818,40.77801,-73.95407
West End Ave & W 60 St,W 70 St & Amsterdam Ave,1699,40.77237,-73.99005,40.77748,-73.98289
Frederick Douglass Blvd & W 112 St,Frederick Douglass Blvd & W 112 St,1698,40.801693,-73.957146,40.801693,-73.957146
W 43 St & 10 Ave,W 43 St & 10 Ave,1695,40.760094,-73.99462,40.760094,-73.99462
E 74 St & 1 Ave,2 Ave & E 72 St,1691,40.768974,-73.95483,40.76876,-73.958405
Berry St & N 8 St,Milton St & Franklin St,1691,40.71901,-73.95853,40.72906,-73.95779
W 31 St & 7 Ave,1 Ave & E 30 St,1686,40.749157,-73.9916,40.741444,-73.97536
DeKalb Ave & Vanderbilt Ave,DeKalb Ave & Hudson Ave,1686,40.689407,-73.96886,40.689888,-73.98101
West St & Chambers St,Spring St & Hudson St,1684,40.71755,-74.01322,40.72584,-74.00765
Central Park S & 6 Ave,Grand Army Plaza & Central Park S,1682,40.76591,-73.97634,40.764397,-73.97372
W 37 St & 10 Ave,8 Ave & W 33 St,1680,40.756603,-73.9979,40.751553,-73.993935
Ave A & E 14 St,E 11 St & Avenue B,1678,40.730312,-73.98047,40.727463,-73.97951
Clinton Ave & Myrtle Ave,Willoughby St & Fleet St,1676,40.69326,-73.968895,40.691967,-73.9813
8 Ave & W 38 St,8 Ave & W 38 St,1673,40.75461,-73.99177,40.75461,-73.99177
E 39 St & 2 Ave,2 Ave & E 31 St,1673,40.74803,-73.97383,40.74291,-73.97706
W 106 St & Central Park West,W 106 St & Central Park West,1671,40.798187,-73.960594,40.798187,-73.960594
E 20 St & FDR Dr,E 20 St & FDR Dr,1667,40.733208,-73.975685,40.733208,-73.975685
Kane St & Clinton St,Clinton St & Joralemon St,1666,40.686176,-73.99645,40.692394,-73.99338
1 Ave & E 68 St,E 44 St & Lexington Ave,1664,40.765007,-73.95818,40.752644,-73.975
Amsterdam Ave & W 73 St,Amsterdam Ave & W 73 St,1664,40.779667,-73.980934,40.779667,-73.980934
8 Ave & W 38 St,8 Ave & W 52 St,1662,40.75461,-73.99177,40.763706,-73.98516
W 31 St & 7 Ave,E 33 St & 1 Ave,1662,40.749157,-73.9916,40.743225,-73.974495
1 Ave & E 16 St,1 Ave & E 30 St,1660,40.73222,-73.98166,40.741444,-73.97536
University Pl & E 14 St,Washington Square E,1659,40.734814,-73.99209,40.730495,-73.99572
Spruce St & Nassau St,Centre St & Chambers St,1659,40.711464,-74.00552,40.712734,-74.00461
Norfolk St & Broome St,Grand St & Samuel Dickstein Plaza,1658,40.717228,-73.98802,40.71512,-73.98417
Forsyth St\t& Grand St,Henry St & Grand St,1655,40.717796,-73.993164,40.71421,-73.981094
7 Ave & Park Pl,3 St & 7 Ave,1655,40.677616,-73.97324,40.670383,-73.97839
44 Dr & Jackson Ave,46 Ave & 5 St,1655,40.74718,-73.94326,40.74731,-73.95451
Adams St & Prospect St,Cadman Plaza E & Red Cross Pl,1655,40.700764,-73.9887,40.699917,-73.989716
Amsterdam Ave & W 82 St,Amsterdam Ave & W 73 St,1655,40.785248,-73.97668,40.779667,-73.980934
8 Ave & W 16 St,E 16 St & 5 Ave,1653,40.740982,-74.0017,40.737263,-73.992386
Broadway & W 58 St,Broadway & W 51 St,1651,40.766953,-73.9817,40.762287,-73.98336
Wards Meadow Comfort Station,2 Ave & E 96 St,1650,40.78294,-73.93077,40.783962,-73.94717
8 Ave & W 33 St,11 Ave & W 41 St,1645,40.751553,-73.993935,40.7603,-73.99884
Wythe Ave & Metropolitan Ave,Wythe Ave & Metropolitan Ave,1643,40.71689,-73.963196,40.71689,-73.963196
W 21 St & 6 Ave,W 26 St & 8 Ave,1642,40.74174,-73.994156,40.74735,-73.99724
S 4 St & Wythe Ave,S 4 St & Wythe Ave,1641,40.71286,-73.965904,40.71286,-73.965904
E 5 St & Ave A,Ave A & E 14 St,1641,40.72479,-73.9843,40.730312,-73.98047
Broadway & E 14 St,Broadway & E 14 St,1640,40.734547,-73.99074,40.734547,-73.99074
W 42 St & 6 Ave,W 43 St & 10 Ave,1640,40.75492,-73.98455,40.760094,-73.99462
E 40 St & Park Ave,W 31 St & 7 Ave,1637,40.750755,-73.978325,40.749157,-73.9916
7 Ave & Central Park South,Central Park S & 6 Ave,1635,40.76674,-73.97907,40.76591,-73.97634
8 Ave & W 52 St,W 53 St & 10 Ave,1633,40.763706,-73.98516,40.766697,-73.990616
E 118 St & Madison Ave,Lenox Ave & W 117 St,1632,40.801487,-73.94425,40.802555,-73.94908
E 9 St & Avenue C,Ave A & E 14 St,1632,40.725212,-73.977684,40.730312,-73.98047
5 Ave & E 87 St,Grand Army Plaza & Central Park S,1629,40.782322,-73.95988,40.764397,-73.97372
E 7 St & Avenue A,Ave A & E 14 St,1629,40.72622,-73.983795,40.730312,-73.98047
Broadway & W 41 St,11 Ave & W 41 St,1628,40.755135,-73.98658,40.7603,-73.99884
W 34 St & 11 Ave,W 34 St & 11 Ave,1627,40.755943,-74.00211,40.755943,-74.00211
12 Ave & W 40 St,Riverside Blvd & W 67 St,1626,40.760876,-74.00278,40.777508,-73.988884
Central Park West & W 68 St,Central Park West & W 85 St,1626,40.773407,-73.97783,40.78476,-73.969864
E 33 St & 1 Ave,E 33 St & 1 Ave,1621,40.743225,-73.974495,40.743225,-73.974495
Central Park West & W 68 St,Central Park W & W 91 St,1621,40.773407,-73.97783,40.788666,-73.9668
West Thames St,West St & Chambers St,1620,40.708347,-74.017136,40.71755,-74.01322
8 Ave & W 49 St,W 50 St & 10 Ave,1617,40.76171,-73.98655,40.764732,-73.99194
Central Park West & W 72 St,Central Park West & W 68 St,1616,40.775795,-73.976204,40.773407,-73.97783
W 15 St & 6 Ave,8 Ave & W 16 St,1616,40.738045,-73.99643,40.740982,-74.0017
South St & Gouverneur Ln,South St & Whitehall St,1615,40.703552,-74.0067,40.70122,-74.012344
Broadway & E 21 St,W 21 St & 6 Ave,1613,40.739887,-73.989586,40.74174,-73.994156
Broadway & W 29 St,Broadway & W 29 St,1612,40.7462,-73.988556,40.7462,-73.988556
Broadway & W 58 St,West End Ave & W 60 St,1610,40.766953,-73.9817,40.77237,-73.99005
W 44 St & 11 Ave,W 44 St & 11 Ave,1609,40.76201,-73.99698,40.76201,-73.99698
Ave A & E 14 St,E 5 St & Ave A,1609,40.730312,-73.98047,40.72479,-73.9843
E 63 St & 3 Ave,1 Ave & E 68 St,1608,40.763954,-73.9646,40.765007,-73.95818
E 30 St & Park Ave S,E 40 St & Park Ave,1606,40.74445,-73.98303,40.750755,-73.978325
5 Ave & E 72 St,Broadway & W 58 St,1606,40.772827,-73.96685,40.766953,-73.9817
Amsterdam Ave & W 79 St,W 67 St & Broadway,1604,40.78294,-73.97865,40.774925,-73.982666
1 Ave & E 30 St,W 31 St & 7 Ave,1603,40.741444,-73.97536,40.749157,-73.9916
University Pl & E 14 St,W 13 St & 5 Ave,1602,40.734814,-73.99209,40.735443,-73.99431
Columbus Ave & W 95 St,W 84 St & Columbus Ave,1599,40.791954,-73.96809,40.785,-73.97283
1 Ave & E 68 St,3 Ave & E 62 St,1597,40.765007,-73.95818,40.763126,-73.96527
Clinton St & Grand St,Canal St & Rutgers St,1596,40.715595,-73.98703,40.714275,-73.9899
E 48 St & 5 Ave,W 41 St & 8 Ave,1596,40.757244,-73.97806,40.756405,-73.99003
Amsterdam Ave & W 79 St,Columbus Ave & W 72 St,1595,40.78294,-73.97865,40.777058,-73.97898
Pier 40 - Hudson River Park,10 Ave & W 14 St,1595,40.727715,-74.0113,40.74198,-74.008316
8 Ave & W 38 St,8 Ave & W 49 St,1591,40.75461,-73.99177,40.76171,-73.98655
1 Ave & E 78 St,E 88 St & 1 Ave,1590,40.771404,-73.953514,40.7783,-73.948814
8 Ave & W 16 St,W 22 St & 10 Ave,1589,40.740982,-74.0017,40.746918,-74.00452
Cleveland Pl & Spring St,Lafayette St & E 8 St,1586,40.722103,-73.997246,40.730206,-73.99103
W 54 St & 11 Ave,Broadway & W 53 St,1586,40.768333,-73.99258,40.76344,-73.98268
Central Park West & W 72 St,Grand Army Plaza & Central Park S,1584,40.775795,-73.976204,40.764397,-73.97372
W 15 St & 6 Ave,W 15 St & 7 Ave,1581,40.738045,-73.99643,40.739357,-73.99932
Allen St & Rivington St,Allen St & Rivington St,1581,40.720196,-73.989975,40.720196,-73.989975
8 Ave & W 16 St,W 21 St & 6 Ave,1580,40.740982,-74.0017,40.74174,-73.994156
5 Ave & E 72 St,Grand Army Plaza & Central Park S,1579,40.772827,-73.96685,40.764397,-73.97372
Central Park North & Adam Clayton Powell Blvd,Central Park West & W 72 St,1579,40.799484,-73.95561,40.775795,-73.976204
9 Ave & W 45 St,9 Ave & W 22 St,1579,40.760193,-73.99126,40.7455,-74.00197
W 55 St & 6 Ave,Broadway & W 56 St,1578,40.763187,-73.97843,40.765266,-73.981926
W 26 St & 8 Ave,8 Ave & W 38 St,1576,40.74735,-73.99724,40.75461,-73.99177
E 14 St & 1 Ave,1 Ave & E 16 St,1575,40.73139,-73.982864,40.73222,-73.98166
Broadway & Battery Pl,Little West St & 1 Pl,1575,40.70463,-74.01362,40.705692,-74.01678
W 22 St & 8 Ave,W 21 St & 6 Ave,1573,40.74475,-73.99915,40.74174,-73.994156
8 Ave & W 33 St,W 35 St & 8 Ave,1573,40.751553,-73.993935,40.75276,-73.992805
Ave A & E 14 St,E 7 St & Ave C,1573,40.730312,-73.98047,40.72413,-73.97901
Ave A & E 14 St,E 10 St & Avenue A,1572,40.730312,-73.98047,40.72741,-73.98142
W 64 St & Thelonious Monk Circle,W 64 St & Thelonious Monk Circle,1571,40.775158,-73.98919,40.775158,-73.98919
Riverside Blvd & W 67 St,12 Ave & W 40 St,1570,40.777508,-73.988884,40.760876,-74.00278
W 15 St & 7 Ave,W 21 St & 6 Ave,1568,40.739357,-73.99932,40.74174,-73.994156
W 21 St & 6 Ave,9 Ave & W 18 St,1567,40.74174,-73.994156,40.743176,-74.00366
St Nicholas Ave & Manhattan Ave,Frederick Douglass Blvd & W 115 St,1567,40.809727,-73.95315,40.803864,-73.95593
Henry St & Grand St,Grand St & Samuel Dickstein Plaza,1565,40.71421,-73.981094,40.71512,-73.98417
1 Ave & E 18 St,E 27 St & 1 Ave,1564,40.73381,-73.980545,40.739445,-73.97681
Willoughby Ave & Hall St,DeKalb Ave & Hudson Ave,1564,40.69196,-73.96537,40.689888,-73.98101
E 20 St & Park Ave,E 20 St & FDR Dr,1563,40.738274,-73.98752,40.733208,-73.975685
Amsterdam Ave & W 73 St,W 87 St & Amsterdam Ave,1561,40.779667,-73.980934,40.78839,-73.9747
Lexington Ave & E 24 St,W 31 St & 7 Ave,1560,40.740257,-73.98409,40.749157,-73.9916
E 2 St & Avenue C,E 2 St & Avenue C,1560,40.720875,-73.98086,40.720875,-73.98086
1 Ave & E 62 St,E 74 St & 1 Ave,1558,40.761227,-73.96094,40.768974,-73.95483
W 34 St & 11 Ave,West St & Chambers St,1557,40.755943,-74.00211,40.71755,-74.01322
6 Ave & W 45 St,Central Park S & 6 Ave,1555,40.75695,-73.98263,40.76591,-73.97634
E 13 St & 2 Ave,Broadway & E 14 St,1549,40.73154,-73.985306,40.734547,-73.99074
1 Ave & E 18 St,1 Ave & E 18 St,1547,40.73381,-73.980545,40.73381,-73.980545
10 Ave & W 28 St,10 Ave & W 28 St,1546,40.750664,-74.00177,40.750664,-74.00177
Cooper Square & Astor Pl,E 6 St & Avenue B,1543,40.729515,-73.99075,40.724537,-73.98186
Norfolk St & Broome St,Clinton St & Grand St,1541,40.717228,-73.98802,40.715595,-73.98703
5 Ave & E 87 St,5 Ave & E 72 St,1540,40.782322,-73.95988,40.772827,-73.96685
E 85 St & 3 Ave,E 85 St & York Ave,1540,40.77801,-73.95407,40.775368,-73.94804
11 Ave & W 41 St,W 42 St & 6 Ave,1538,40.7603,-73.99884,40.75492,-73.98455
Norfolk St & Broome St,S 5 Pl & S 5 St,1538,40.717228,-73.98802,40.71045,-73.96088
W 34 St & 11 Ave,11 Ave & W 41 St,1537,40.755943,-74.00211,40.7603,-73.99884
Flatbush Ave & Ocean Ave,Plaza St East & Flatbush Ave,1532,40.66366,-73.96301,40.673134,-73.96911
Broadway & W 53 St,W 54 St & 11 Ave,1529,40.76344,-73.98268,40.768333,-73.99258
Lafayette St & E 8 St,4 Ave & E 12 St,1529,40.730206,-73.99103,40.732647,-73.99011
Lafayette St & E 8 St,Broadway & E 14 St,1527,40.730206,-73.99103,40.734547,-73.99074
W 67 St & Broadway,Amsterdam Ave & W 79 St,1527,40.774925,-73.982666,40.78294,-73.97865
Grand Army Plaza & Central Park S,5 Ave & E 78 St,1525,40.764397,-73.97372,40.77632,-73.96427
W 54 St & 11 Ave,12 Ave & W 40 St,1525,40.768333,-73.99258,40.760876,-74.00278
W 26 St & 8 Ave,W 26 St & 8 Ave,1524,40.74735,-73.99724,40.74735,-73.99724
Amsterdam Ave & W 73 St,W 74 St & Columbus Ave,1523,40.779667,-73.980934,40.77857,-73.97755
9 Ave & W 22 St,Hudson St & W 13 St,1522,40.7455,-74.00197,40.74006,-74.00527
5 Ave & E 72 St,5 Ave & E 78 St,1521,40.772827,-73.96685,40.77632,-73.96427
31 St & Newtown Ave,18 St & 27 Ave,1520,40.767548,-73.92094,40.77277,-73.92744
Willoughby St & Fleet St,Clinton Ave & Myrtle Ave,1519,40.691967,-73.9813,40.69326,-73.968895
Southpoint Park,Motorgate,1518,40.753704,-73.95865,40.76391,-73.94772
Franklin Ave & St Marks Ave,Eastern Pkwy & Franklin Ave,1518,40.67583,-73.95617,40.670776,-73.95768
9 Ave & W 22 St,W 20 St & 7 Ave,1516,40.7455,-74.00197,40.74239,-73.99726
E 84 St & 1 Ave,E 85 St & York Ave,1516,40.775654,-73.95068,40.775368,-73.94804
S 4 St & Wythe Ave,Berry St & N 8 St,1515,40.71286,-73.965904,40.71901,-73.95853
Jackson Ave & 46 Rd,Center Blvd & 51 Ave,1513,40.745247,-73.947334,40.743366,-73.95961
W 20 St & 8 Ave,W 21 St & 6 Ave,1513,40.743454,-74.00004,40.74174,-73.994156
Queens Plaza North & Crescent St,Queens Plaza North & Crescent St,1512,40.751102,-73.940735,40.751102,-73.940735
Clinton St & Grand St,Clinton St & Grand St,1511,40.715595,-73.98703,40.715595,-73.98703
Canal St & Rutgers St,Clinton St & Grand St,1508,40.714275,-73.9899,40.715595,-73.98703
1 Ave & E 18 St,E 33 St & 1 Ave,1506,40.73381,-73.980545,40.743225,-73.974495
W 4 St & 7 Ave S,W 4 St & 7 Ave S,1505,40.734013,-74.00294,40.734013,-74.00294
Broadway & E 21 St,Broadway & E 21 St,1504,40.739887,-73.989586,40.739887,-73.989586
W 63 St & Broadway,W 63 St & Broadway,1502,40.771637,-73.98261,40.771637,-73.98261
E 20 St & Park Ave,E 20 St & 2 Ave,1501,40.738274,-73.98752,40.735878,-73.98205
1 Ave & E 62 St,1 Ave & E 62 St,1501,40.761227,-73.96094,40.761227,-73.96094
