station_name,lat,lon,geo_zone,total_trips
W 21 St & 6 Ave,40.74174,-73.994156,4,259194.0
West St & Chambers St,40.71755,-74.01322,8,247625.0
Broadway & W 58 St,40.766953,-73.9817,12,224606.0
6 Ave & W 33 St,40.749012,-73.98849,9,211377.0
1 Ave & E 68 St,40.765007,-73.95818,7,209977.0
Broadway & W 25 St,40.74287,-73.98919,0,197167.0
Broadway & E 14 St,40.734547,-73.99074,18,197134.0
University Pl & E 14 St,40.734814,-73.99209,18,196298.0
Broadway & E 21 St,40.739887,-73.989586,0,191203.0
W 31 St & 7 Ave,40.749157,-73.9916,9,188318.0
12 Ave & W 40 St,40.760876,-74.00278,15,182576.0
Cleveland Pl & Spring St,40.722103,-73.997246,2,182474.0
E 33 St & 1 Ave,40.743225,-73.974495,17,181674.0
6 Ave & W 34 St,40.74964,-73.98805,9,176492.0
Lafayette St & E 8 St,40.730206,-73.99103,18,175414.0
West St & Liberty St,40.711445,-74.01485,8,175364.0
11 Ave & W 41 St,40.7603,-73.99884,15,175118.0
Central Park S & 6 Ave,40.76591,-73.97634,12,174239.0
8 Ave & W 33 St,40.751553,-73.993935,9,171472.0
E 40 St & Park Ave,40.750755,-73.978325,24,169455.0
9 Ave & W 22 St,40.7455,-74.00197,4,167727.0
W 22 St & 10 Ave,40.746918,-74.00452,4,166257.0
Grand Army Plaza & Central Park S,40.764397,-73.97372,12,161827.0
8 Ave & W 38 St,40.75461,-73.99177,9,159105.0
8 Ave & W 31 St,40.750584,-73.99468,15,155761.0
8 Ave & W 16 St,40.740982,-74.0017,4,153199.0
W 41 St & 8 Ave,40.756405,-73.99003,9,150883.0
Broadway & W 29 St,40.7462,-73.988556,0,150562.0
7 Ave & Central Park South,40.76674,-73.97907,12,150230.0
10 Ave & W 14 St,40.74198,-74.008316,4,148824.0
W 30 St & 10 Ave,40.752693,-74.00235,15,146374.0
E 16 St & 5 Ave,40.737263,-73.992386,18,145668.0
Clinton St & Grand St,40.715595,-73.98703,20,144405.0
W 43 St & 10 Ave,40.760094,-73.99462,22,142911.0
W 15 St & 6 Ave,40.738045,-73.99643,18,142419.0
Norfolk St & Broome St,40.717228,-73.98802,20,141653.0
W 20 St & 10 Ave,40.745686,-74.00514,4,141453.0
1 Ave & E 18 St,40.73381,-73.980545,11,141339.0
9 Ave & W 45 St,40.760193,-73.99126,22,140769.0
1 Ave & E 78 St,40.771404,-73.953514,7,140057.0
Broadway & W 41 St,40.755135,-73.98658,9,139013.0
5 Ave & E 72 St,40.772827,-73.96685,23,138911.0
Columbus Ave & W 72 St,40.777058,-73.97898,1,138716.0
W 4 St & 7 Ave S,40.734013,-74.00294,10,138490.0
1 Ave & E 62 St,40.761227,-73.96094,21,136740.0
W 18 St & 6 Ave,40.73971,-73.99456,18,135696.0
W 54 St & 11 Ave,40.768333,-73.99258,22,135471.0
10 Ave & W 28 St,40.750664,-74.00177,15,135373.0
Grand St & Elizabeth St,40.718822,-73.99596,2,135190.0
W 42 St & 6 Ave,40.75492,-73.98455,9,134991.0
E 1 St & 1 Ave,40.723354,-73.98865,20,134440.0
Central Park West & W 72 St,40.775795,-73.976204,23,134077.0
1 Ave & E 16 St,40.73222,-73.98166,11,133741.0
Christopher St & Greenwich St,40.732914,-74.00711,10,133703.0
Wythe Ave & Metropolitan Ave,40.71689,-73.963196,3,133592.0
2 Ave & E 29 St,40.741722,-73.978096,17,133525.0
W 26 St & 8 Ave,40.74735,-73.99724,4,133283.0
Amsterdam Ave & W 73 St,40.779667,-73.980934,1,132896.0
Ave A & E 14 St,40.730312,-73.98047,11,132867.0
E 13 St & 2 Ave,40.73154,-73.985306,11,132586.0
W 27 St & 7 Ave,40.746647,-73.99391,9,132196.0
Lafayette St & Jersey St,40.72456,-73.99565,2,131517.0
Washington St & Gansevoort St,40.739323,-74.00812,4,131235.0
West End Ave & W 60 St,40.77237,-73.99005,1,130719.0
E 10 St & Avenue A,40.72741,-73.98142,11,130562.0
W 25 St & 6 Ave,40.743954,-73.99145,0,130101.0
Canal St & Rutgers St,40.714275,-73.9899,2,129605.0
Pier 40 - Hudson River Park,40.727715,-74.0113,10,129231.0
Central Park West & W 68 St,40.773407,-73.97783,1,128044.0
Vesey Pl & River Terrace,40.71534,-74.01659,8,126607.0
W 44 St & 11 Ave,40.76201,-73.99698,22,126360.0
W 20 St & 7 Ave,40.74239,-73.99726,4,125077.0
W 13 St & 5 Ave,40.735443,-73.99431,18,125022.0
W 22 St & 8 Ave,40.74475,-73.99915,4,124154.0
Kent Ave & N 7 St,40.720367,-73.96165,3,121713.0
6 Ave & W 45 St,40.75695,-73.98263,24,121512.0
Lexington Ave & E 24 St,40.740257,-73.98409,0,120892.0
Suffolk St & Stanton St,40.720665,-73.985176,20,120812.0
Vesey St & Church St,40.71222,-74.010475,8,119814.0
2 Ave & E 72 St,40.76876,-73.958405,7,119622.0
Centre St & Chambers St,40.712734,-74.00461,8,119507.0
1 Ave & E 6 St,40.72633,-73.98617,11,119308.0
Bleecker St & Crosby St,40.726154,-73.9951,2,119304.0
2 Ave & E 31 St,40.74291,-73.97706,17,118757.0
E 2 St & Avenue B,40.722176,-73.98369,20,118731.0
E 85 St & 3 Ave,40.77801,-73.95407,13,118414.0
4 Ave & E 12 St,40.732647,-73.99011,18,118306.0
Great Jones St,40.727436,-73.99379,18,118294.0
9 Ave & W 18 St,40.743176,-74.00366,4,118129.0
St Marks Pl & 2 Ave,40.72842,-73.98714,11,117926.0
North Moore St & Greenwich St,40.720196,-74.0103,8,117097.0
E 25 St & 2 Ave,40.739124,-73.97974,17,116678.0
11 Ave & W 27 St,40.751396,-74.005226,15,116327.0
S 4 St & Wythe Ave,40.71286,-73.965904,3,116041.0
W 16 St & The High Line,40.74335,-74.00682,4,115804.0
E 33 St & 5 Ave,40.747658,-73.98491,0,115782.0
W 15 St & 7 Ave,40.739357,-73.99932,4,115298.0
E 39 St & 2 Ave,40.74803,-73.97383,17,114299.0
E 17 St & Broadway,40.73705,-73.99009,18,114265.0
Greenwich Ave & 8 Ave,40.739017,-74.00264,4,114166.0
Allen St & Rivington St,40.720196,-73.989975,2,114036.0
Allen St & Stanton St,40.722054,-73.98911,20,113993.0
8 Ave & W 52 St,40.763706,-73.98516,22,113139.0
N 6 St & Bedford Ave,40.717453,-73.95851,3,113037.0
Amsterdam Ave & W 79 St,40.78294,-73.97865,23,112662.0
5 Ave & E 87 St,40.782322,-73.95988,13,112393.0
Metropolitan Ave & Bedford Ave,40.715347,-73.96024,3,111970.0
E 72 St & York Ave,40.76664,-73.95348,7,111764.0
W 70 St & Amsterdam Ave,40.77748,-73.98289,1,110625.0
W 20 St & 8 Ave,40.743454,-74.00004,4,110193.0
E 31 St & 3 Ave,40.743942,-73.97966,17,109834.0
W 44 St & 5 Ave,40.755,-73.98014,24,109829.0
W 63 St & Broadway,40.771637,-73.98261,1,109773.0
E 20 St & 2 Ave,40.735878,-73.98205,11,109456.0
E 44 St & Lexington Ave,40.752644,-73.975,24,109344.0
Broadway & W 38 St,40.75297,-73.98735,9,109145.0
Carmine St & 6 Ave,40.730385,-74.00215,10,109045.0
Cooper Square & Astor Pl,40.729515,-73.99075,18,108820.0
E 20 St & Park Ave,40.738274,-73.98752,0,108812.0
Broadway & W 61 St,40.77003,-73.98197,1,108684.0
E 27 St & 1 Ave,40.739445,-73.97681,17,108075.0
Washington Square E,40.730495,-73.99572,18,107793.0
E 7 St & Avenue A,40.72622,-73.983795,11,107725.0
Mott St & Prince St,40.72318,-73.9948,2,107520.0
E 23 St & 1 Ave,40.736504,-73.978096,17,106997.0
Forsyth St\t& Grand St,40.717796,-73.993164,2,106369.0
Central Park North & Adam Clayton Powell Blvd,40.799484,-73.95561,14,106198.0
S 5 Pl & S 5 St,40.71045,-73.96088,3,105865.0
E 11 St & 1 Ave,40.729538,-73.98427,11,105399.0
W 42 St & 8 Ave,40.75757,-73.99098,22,105299.0
1 Ave & E 39 St,40.74714,-73.97113,17,105066.0
Central Park West & W 85 St,40.78476,-73.969864,23,104700.0
W 34 St & 11 Ave,40.755943,-74.00211,15,104627.0
8 Ave & W 49 St,40.76171,-73.98655,22,104270.0
FDR Drive & E 35 St,40.74422,-73.971214,17,104100.0
W 59 St & 10 Ave,40.77051,-73.98804,1,103974.0
W 29 St & 9 Ave,40.750072,-73.99839,15,103246.0
Riverside Blvd & W 67 St,40.777508,-73.988884,1,103217.0
Henry St & Grand St,40.71421,-73.981094,20,102887.0
E 16 St & Irving Pl,40.735367,-73.987976,18,102802.0
E 2 St & Avenue A,40.723076,-73.98584,20,101966.0
Sullivan St & Washington Sq,40.730476,-73.99906,10,101863.0
W 47 St & 10 Ave,40.7627,-73.99301,22,101798.0
Hudson St & W 13 St,40.74006,-74.00527,4,101590.0
W 49 St & 8 Ave,40.76227,-73.987885,22,101153.0
E 2 St & Avenue C,40.720875,-73.98086,20,100941.0
University Pl & E 8 St,40.731438,-73.9949,18,100778.0
W 37 St & 10 Ave,40.756603,-73.9979,15,100652.0
MacDougal St & Prince St,40.727104,-74.00297,10,100497.0
Broadway & W 56 St,40.765266,-73.981926,12,100403.0
W 67 St & Broadway,40.774925,-73.982666,1,100388.0
Broadway & W 51 St,40.762287,-73.98336,12,100020.0
W 24 St & 7 Ave,40.744877,-73.9953,4,99494.0
Washington Pl & 6 Ave,40.732243,-74.00027,10,99417.0
Central Park W & W 91 St,40.788666,-73.9668,5,99375.0
W 26 St & 10 Ave,40.749718,-74.00295,15,99301.0
E 4 St & 2 Ave,40.72628,-73.98978,20,99030.0
W 53 St & 10 Ave,40.766697,-73.990616,22,98884.0
E 47 St & Park Ave,40.755104,-73.97498,24,98524.0
Broadway & E 19 St,40.738663,-73.989876,18,98507.0
Hanson Pl & Ashland Pl,40.685066,-73.977905,19,98342.0
Greenwich St & W Houston St,40.728848,-74.00859,10,97903.0
LaGuardia Pl & W 3 St,40.72917,-73.9981,10,97865.0
E 30 St & Park Ave S,40.74445,-73.98303,0,97482.0
7 Ave S & Bleecker St,40.73214,-74.00364,10,97219.0
Allen St & Hester St,40.716057,-73.991905,2,97148.0
E 14 St & Avenue B,40.729385,-73.97772,11,96809.0
Thompson St & Bleecker St,40.7284,-73.99969,10,96617.0
E 14 St & 1 Ave,40.73139,-73.982864,11,96612.0
E 15 St & 3 Ave,40.734234,-73.98692,18,96610.0
W 54 St & 9 Ave,40.76585,-73.98691,22,96423.0
Broadway\t& W 48 St,40.760178,-73.98487,22,96127.0
6 Ave & Broome St,40.72431,-74.00473,10,95033.0
W 45 St & 8 Ave,40.759293,-73.988594,22,94990.0
E 20 St & FDR Dr,40.733208,-73.975685,11,94860.0
W 13 St & 7 Ave,40.737816,-73.99995,4,94579.0
Little West St & 1 Pl,40.705692,-74.01678,8,94520.0
5 Ave & E 78 St,40.77632,-73.96427,23,94049.0
11 Ave & W 59 St,40.771496,-73.99046,1,93788.0
W 51 St & 6 Ave,40.76066,-73.98042,12,93714.0
Broadway & W 53 St,40.76344,-73.98268,12,93332.0
W 50 St & 10 Ave,40.764732,-73.99194,22,92524.0
Washington Pl & Broadway,40.72904,-73.99405,18,92086.0
E 11 St & 3 Ave,40.73127,-73.98849,18,92047.0
W 17 St & 8 Ave,40.741776,-74.001495,4,91719.0
E 10 St & 2 Ave,40.72971,-73.986595,11,91715.0
1 Ave & E 30 St,40.741444,-73.97536,17,91405.0
Spring St & Hudson St,40.72584,-74.00765,10,90789.0
W 11 St & 6 Ave,40.735325,-73.998,18,90767.0
E 53 St & Lexington Ave,40.75828,-73.970695,21,90423.0
Broadway & Berry St,40.710445,-73.96525,3,89844.0
West Drive & Prospect Park West,40.661064,-73.979454,6,89827.0
Stanton St & Chrystie St,40.722294,-73.99148,2,88781.0
W 64 St & Thelonious Monk Circle,40.775158,-73.98919,1,88267.0
E 13 St & Avenue A,40.729668,-73.98068,11,88048.0
E 22 St & 2 Ave,40.737167,-73.981224,17,87891.0
S 3 St & Bedford Ave,40.712605,-73.96265,3,87381.0
W 55 St & 6 Ave,40.763187,-73.97843,12,87216.0
E 39 St & Lexington Ave,40.7495,-73.977295,24,87129.0
E 6 St & Avenue B,40.724537,-73.98186,20,86703.0
West Thames St,40.708347,-74.017136,8,86563.0
E 27 St & Park Ave S,40.742752,-73.98472,0,86562.0
Barrow St & Hudson St,40.731724,-74.006744,10,86464.0
Stanton St & Norfolk St,40.72075,-73.986275,20,86223.0
Queens Plaza North & Crescent St,40.751102,-73.940735,7,85678.0
Rivington St & Ridge St,40.718502,-73.9833,20,85387.0
5 Ave & E 29 St,40.745167,-73.98683,0,84673.0
Berry St & N 8 St,40.71901,-73.95853,3,84587.0
E 32 St & Park Ave,40.745712,-73.98195,0,84572.0
Ave A & E 11 St,40.728546,-73.98176,11,84421.0
Fulton St & Broadway,40.711067,-74.009445,8,83669.0
Madison Ave & E 26 St,40.742683,-73.98671,0,83613.0
Forsyth St & Canal St,40.715816,-73.994225,2,83057.0
St Marks Pl & 1 Ave,40.72779,-73.98565,11,82840.0
Riverside Dr & W 72 St,40.78058,-73.98563,1,82469.0
Milton St & Franklin St,40.72906,-73.95779,3,82457.0
W 12 St & Hudson St,40.73753,-74.00559,10,82276.0
Murray St & Greenwich St,40.71485,-74.01122,8,82153.0
W 42 St & Dyer Ave,40.758984,-73.9938,22,81758.0
E 9 St & 5 Ave,40.732758,-73.99582,18,81589.0
Fulton St & Adams St,40.692417,-73.989494,19,81490.0
Perry St & Greenwich Ave,40.735916,-74.00094,10,81338.0
E 58 St & 3 Ave,40.760956,-73.96725,21,81317.0
E 11 St & Avenue B,40.727463,-73.97951,11,81200.0
W 84 St & Columbus Ave,40.785,-73.97283,23,80555.0
Lexington Ave & E 29 St,40.743114,-73.982155,0,80495.0
E 41 St & Madison Ave (SE corner),40.75205,-73.97964,24,80127.0
E 47 St & 2 Ave,40.75323,-73.97032,21,80117.0
E 91 St & 2 Ave,40.781155,-73.94963,13,79651.0
E 5 St & Ave A,40.72479,-73.9843,20,79311.0
Mercer St & Spring St,40.72363,-73.9995,2,79310.0
W 34 St &\tHudson Blvd E,40.75517,-74.0006,15,79052.0
Frederick Douglass Blvd & W 117 St,40.80516,-73.95469,14,78948.0
Lexington Ave & E 36 St,40.747574,-73.9788,24,78748.0
3 Ave & E 62 St,40.763126,-73.96527,21,78736.0
E 6 St & Avenue D,40.722282,-73.976685,20,78701.0
Central Park W & W 97 St,40.792496,-73.96417,5,78673.0
E 84 St & 1 Ave,40.775654,-73.95068,13,78560.0
Perry St & Bleecker St,40.735355,-74.00483,10,78357.0
W 36 St & 9 Ave,40.754623,-73.99517,15,77268.0
W 100 St & Broadway,40.79737,-73.97041,5,77150.0
Columbus Ave & W 95 St,40.791954,-73.96809,5,77140.0
Frederick Douglass Blvd & W 112 St,40.801693,-73.957146,14,77140.0
Driggs Ave & N 9 St,40.71817,-73.9552,3,76621.0
W 56 St & 6 Ave,40.763405,-73.97723,12,76566.0
E 19 St & 3 Ave,40.736244,-73.98474,0,76140.0
MacDougal St & Washington Sq,40.732265,-73.99852,10,76038.0
Central Park West & W 76 St,40.77897,-73.97375,23,75710.0
Mercer St & Bleecker St,40.727062,-73.99662,2,75439.0
Rivington St & Chrystie St,40.7211,-73.99193,2,75392.0
5 Ave & E 93 St,40.785786,-73.95748,13,75239.0
E 25 St & 1 Ave,40.73818,-73.97739,17,75145.0
E 9 St & Avenue C,40.725212,-73.977684,11,74374.0
W 37 St & 5 Ave,40.75038,-73.98339,24,74308.0
Centre St & Worth St,40.714947,-74.00234,2,74081.0
Madison Av & E 51 St,40.75863,-73.97513,12,73947.0
Bergen St & Vanderbilt Ave,40.67944,-73.96804,6,73636.0
W 50 St & 9 Ave,40.763603,-73.98918,22,73512.0
E 55 St & 2 Ave,40.757973,-73.966034,21,72957.0
Orchard St & Grand St,40.71732,-73.99068,2,72864.0
Lispenard St & Broadway,40.71939,-74.00247,2,72796.0
Kenmare St & Elizabeth St,40.72054,-73.9949,2,72689.0
E 7 St & Ave B,40.72513,-73.981316,11,72575.0
Bayard St & Baxter St,40.716022,-73.99974,2,72218.0
E 53 St & Madison Ave,40.759712,-73.97402,12,72067.0
E 26 St & 3 Ave,40.740692,-73.981606,0,72060.0
W 95 St & Broadway,40.79377,-73.971886,5,71810.0
South St & Gouverneur Ln,40.703552,-74.0067,16,71787.0
W 106 St & Central Park West,40.798187,-73.960594,5,71773.0
E 51 St & 2 Ave,40.755295,-73.96764,21,71546.0
Bedford Ave & Nassau Ave,40.723118,-73.952126,3,71366.0
Howard St & Lafayette St,40.719105,-73.99973,2,70897.0
W 36 St & 7 Ave,40.752148,-73.98954,9,70875.0
E 59 St & Madison Ave,40.763504,-73.97109,21,70772.0
South St & Whitehall St,40.70122,-74.012344,16,70487.0
W 15 St & 10 Ave,40.742752,-74.00748,4,70405.0
E 41 St & Madison Ave (SW corner),40.752167,-73.97992,24,70382.0
Hudson St & Reade St,40.71625,-74.00911,8,70303.0
7 Ave & Park Pl,40.677616,-73.97324,6,70240.0
E 74 St & 1 Ave,40.768974,-73.95483,7,70118.0
E 48 St & 5 Ave,40.757244,-73.97806,24,70073.0
Park Ave & E 124 St,40.804554,-73.93969,14,70052.0
W 35 St & 9 Ave,40.754147,-73.996086,15,70019.0
E 88 St & 1 Ave,40.7783,-73.948814,13,69781.0
W 30 St & 8 Ave,40.749653,-73.99521,15,69762.0
Amsterdam Ave & W 82 St,40.785248,-73.97668,23,69563.0
E 2 St & 2 Ave,40.72503,-73.9907,2,69368.0
E 40 St & 5 Ave,40.752064,-73.981636,24,69314.0
Atlantic Ave & Furman St,40.69165,-73.99998,19,69157.0
N 12 St & Bedford Ave,40.7208,-73.95485,3,69079.0
Lafayette Ave & Ft Greene Pl,40.687004,-73.97665,19,68900.0
Division St & Bowery,40.71419,-73.996735,2,68751.0
E 12 St & 3 Ave,40.73223,-73.9889,18,68579.0
2 Ave & E 96 St,40.783962,-73.94717,13,68493.0
Franklin St & Dupont St,40.73564,-73.95866,3,68178.0
8 Ave & W 27 St,40.747967,-73.996635,15,68021.0
W 52 St & 6 Ave,40.76133,-73.97982,12,67874.0
King St & Varick St,40.727898,-74.00536,10,67723.0
Grand St & Havemeyer St,40.712868,-73.95698,3,67634.0
Bank St & Washington St,40.7362,-74.00859,10,67215.0
